# KMCtstep 	 +N2 	 -N2 	 N2total 	 Timestep 	 Cumul_Time 	 Cumul_R+ 	 Cumul_R- 	 Cumul_R
# T=300	 beta from beta.dat	 gamma_surf=8.8e-20 [J/nm2]
0	0	0	0	5.992299214	4.994364447	0.04290958341	0	0.04290958341
1	1	0	1	0.4494043064	5.443768753	0.0445977211	2.149265698e-05	0.04461921376
2	2	0	2	2.325638589	7.606499684	0.06518608435	4.451756026e-05	0.06523060191
3	3	0	3	3.393518934	10.85214295	0.06675866517	6.087191674e-05	0.06681953709
4	4	0	4	3.575407994	14.26903248	0.07308681256	6.515462028e-05	0.07315196718
5	5	0	5	4.17709597	18.30702855	0.08299830392	7.458887915e-05	0.0830728928
6	6	0	6	15.90133701	33.01376074	0.09287197107	8.127841876e-05	0.09295324949
7	7	0	7	2.994326579	35.93899397	0.1000539504	9.789654665e-05	0.100151847
8	8	0	8	16.78943606	51.87015856	0.1185242556	0.0001136729324	0.1186379285
9	9	0	9	27.44697342	77.54965131	0.116634114	0.00011691091	0.1167510249
Execution time: 70.672031 seconds 0.01963111972 hours
